,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
17,VANDANMSLS,22,False,0.00018787384033203125,15.000017493088045,2.3200991666503836,1,3,1,TR radius too small
18,SENSORS,100,False,0.16718006134033203,-2108.53125,1.9618422892073706e-05,84,89,54,TR radius too small
19,DENSCHND,3,True,0.01682114601135254,1.2393140749774484e-08,1.2033090122743324e-06,67,72,68,First order condition met
20,DANWOODLS,2,False,0.00011897087097167969,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0017709732055664062,-18.200000009093674,5.653274782183493e-06,6,9,7,First order condition met
22,CUBE,2,True,0.018969297409057617,4.36524280019345e-13,3.778297041606963e-06,74,84,76,First order condition met
23,MUONSINELS,1,True,0.006032228469848633,51138.96429792589,1.0697931429604068e-09,22,30,22,First order condition met
24,DENSCHNE,3,True,0.011906147003173828,1.0853478691999404e-15,6.588923444428007e-08,39,44,40,First order condition met
25,DMN15333LS,99,False,47.83210110664368,168.27025830317837,61.94202822309896,4999,5009,880,Exceed max iterations
26,PALMER8C,8,True,0.00976109504699707,0.15976783354927984,5.333752680144845e-06,28,33,29,First order condition met
27,DIAMON3DLS,99,False,39.75702881813049,470.95587886866264,2565.3241606774186,4999,5007,562,Exceed max iterations
28,PALMER5D,4,True,0.009730100631713867,87.33939475358387,6.555402332316343e-06,33,39,35,First order condition met
29,EXPFIT,2,True,0.010610103607177734,0.24051059399906183,2.4824191636664067e-07,39,45,40,First order condition met
30,HELIX,3,True,0.013342857360839844,2.5891441944059052e-14,2.90891832554313e-07,38,45,39,First order condition met
31,LSC2LS,3,True,0.05781221389770508,13.35995839224134,1.5141585519502434e-06,192,198,69,First order condition met
32,KOWOSB,4,True,0.014070987701416016,0.0003078009760753827,9.617798868801038e-07,43,48,44,First order condition met
33,S308,2,True,0.005811214447021484,0.7731990564929597,6.459235950982968e-07,21,26,22,First order condition met
34,DANIWOODLS,2,True,0.009723901748657227,0.004317308408528326,7.410185482904285e-06,37,43,39,First order condition met
35,DENSCHNF,2,True,0.008954048156738281,1.7317863452316872e-25,9.10917926698388e-12,35,41,35,First order condition met
36,PALMER4C,8,True,0.012744903564453125,0.050310688213661,5.100920429771484e-07,34,39,35,First order condition met
37,YFITU,3,True,0.0633232593536377,1.5528965190341393e-09,9.910971204025036e-07,211,221,197,First order condition met
38,GAUSS2LS,8,True,0.0228121280670166,1247.528209230999,7.315494172485261e-07,65,71,57,First order condition met
39,CHWIRUT1LS,3,True,0.016324996948242188,2384.477139309348,8.344148116814096e-09,65,71,50,First order condition met
40,COOLHANSLS,9,True,0.14192700386047363,6.300833058245233e-09,6.986084693435254e-07,286,298,53,First order condition met
41,HAHN1LS,7,False,1.6209771633148193,7.771629671508301,274339.31514504174,4999,5009,1055,Exceed max iterations
42,HIMMELBB,2,True,0.0057332515716552734,2.8681059009190594e-28,6.386979155037016e-11,27,32,28,First order condition met
43,VESUVIOLS,8,False,0.17638611793518066,991.4100028725767,0.011696971204572488,279,286,235,TR radius too small
44,PALMER3C,8,False,0.020312786102294922,0.019537638972138987,4.0994905818011325e-05,66,71,55,TR radius too small
45,LUKSAN22LS,100,False,3.292955160140991,872.9230300061537,0.004221628668824141,4999,5007,86,Exceed max iterations
46,CHNROSNB,50,True,0.8667769432067871,1.3085543273685581e-11,8.519043251671734e-06,1382,1398,808,First order condition met
47,LOGHAIRY,2,True,0.8914451599121094,0.1823215567939546,6.146250977734426e-08,3368,3374,2,First order condition met
48,HYDCAR6LS,29,False,4.110913038253784,0.010632944133407065,0.28869398660640483,4999,5017,182,Exceed max iterations
49,LANCZOS2LS,6,True,0.030989646911621094,4.3502829981039776e-06,8.619543951442636e-07,60,65,61,First order condition met
50,HEART6LS,6,True,1.1947638988494873,2.2279768288293893e-10,1.5486744070511656e-06,3294,3302,754,First order condition met
51,HIMMELBG,2,True,0.0062749385833740234,2.342861871163764e-19,1.5588305454261109e-09,20,25,21,First order condition met
52,MARATOSB,2,True,0.4285871982574463,-1.000000062499984,4.6046786084427767e-07,1617,1625,26,First order condition met
53,TOINTQOR,50,True,0.03306078910827637,1175.4722221461707,7.58928767544664e-06,51,57,25,First order condition met
54,BRKMCC,2,True,0.0013208389282226562,0.16904267919659033,7.379431991472994e-07,4,7,5,First order condition met
55,STRTCHDV,10,True,0.014890909194946289,1.6851864222520315e-09,2.919744720316698e-06,33,40,34,First order condition met
56,POWELLBSLS,2,True,0.15040898323059082,3.9536877876876243e-07,9.315253184584547e-07,736,754,737,First order condition met
57,DEVGLA2,5,False,0.0001442432403564453,,,0,2,2,Obj is nan or +/-inf
58,HILBERTA,2,True,0.002223968505859375,7.396755742073922e-18,2.5277529267193327e-09,8,11,9,First order condition met
59,RECIPELS,3,True,0.0023660659790039062,1.3880799133303585e-11,6.386687149097483e-08,8,13,9,First order condition met
60,PALMER2C,8,True,0.02043294906616211,0.014368885657741104,5.910800995428714e-07,58,66,57,First order condition met
61,HIMMELBF,4,True,0.017997026443481445,318.5717487944764,1.3499802752751287e-06,57,63,57,First order condition met
62,ROSENBRTU,2,True,0.027662038803100586,1.391145829582787e-12,5.610314476424577e-06,96,102,2,First order condition met
63,STRATEC,10,False,0.049179792404174805,2818.43764509573,47492.95111805471,1,3,1,TR radius too small
64,MGH17LS,5,True,0.021189212799072266,1.022431670711835,2.4974487021542145e-06,62,70,50,First order condition met
65,DEVGLA1,4,False,0.00014495849609375,,,0,2,2,Obj is nan or +/-inf
66,BENNETT5LS,3,True,0.017212867736816406,0.0005385200000089143,4.047615841451221e-07,66,72,63,First order condition met
67,HILBERTB,10,True,0.005482912063598633,2.2437987774978398e-14,6.699129947083319e-07,7,12,8,First order condition met
68,HIMMELBCLS,2,True,0.007216215133666992,1.1301697705264366e-14,7.632566980506904e-07,18,23,19,First order condition met
69,DMN15332LS,66,False,32.47472405433655,1336.156460379831,10.963948508813186,4999,5009,626,Exceed max iterations
70,BROWNDEN,4,True,0.013629913330078125,85822.20135243259,8.194583399874705e-06,47,53,45,First order condition met
71,LSC1LS,3,True,0.02615809440612793,7.71185223881996,4.219791874468331e-08,80,86,79,First order condition met
72,HIMMELBH,2,True,0.002796649932861328,-0.9999999999999709,3.426021872321995e-07,10,13,11,First order condition met
73,ENGVAL2,3,True,0.01517796516418457,3.7126705637076395e-15,7.368422849112448e-07,49,55,40,First order condition met
74,POWELLSQLS,2,True,0.006844758987426758,1.070646745111324e-18,2.0694985797441171e-07,26,31,27,First order condition met
75,CERI651DLS,7,False,0.01061391830444336,,,49,59,51,Obj is nan or +/-inf
76,GAUSSIAN,3,True,0.0015990734100341797,1.1279335725222177e-08,3.1621937915305793e-07,5,8,6,First order condition met
77,MISRA1BLS,2,True,0.1627950668334961,0.07546468153339458,4.5496567127528504e-08,802,808,580,First order condition met
78,GULF,3,True,0.014131784439086914,1.9431016331737928e-08,1.8579224518390791e-06,43,48,44,First order condition met
79,PRICE3,2,True,0.0076029300689697266,1.7131302135318591e-15,1.7037120882826897e-06,30,37,31,First order condition met
80,LUKSAN15LS,100,False,0.07012033462524414,3.569696877227723,0.00020802803034484913,94,105,49,TR radius too small
81,BIGGS6,6,True,0.11706805229187012,2.1608333884530025e-08,3.3478088751144215e-06,273,278,260,First order condition met
82,MGH10SLS,3,False,0.40912795066833496,87.94585517051046,0.0003260055068919873,1274,1281,777,TR radius too small
83,METHANL8LS,31,False,4.026554107666016,0.025552601679924236,0.5241253035457586,4999,5009,82,Exceed max iterations
84,SSI,3,True,0.2645742893218994,7.748162529594471e-06,9.725085211512285e-07,968,976,310,First order condition met
85,LUKSAN17LS,100,False,0.9525291919708252,0.4931612903385105,6.13340606735322e-05,1340,1365,153,TR radius too small
86,TOINTPSP,50,True,0.05740809440612793,225.56040942188667,3.706768376667768e-06,92,100,64,First order condition met
87,ROSENBR,2,True,0.01724696159362793,1.1138056154895734e-13,2.982735340689447e-07,66,74,67,First order condition met
88,ROSZMAN1LS,4,True,0.054728031158447266,0.04192861413418836,3.745986707248235e-06,207,217,206,First order condition met
89,PALMER1C,8,False,0.023942232131958008,0.09760504811418066,5.2206291941383883e-05,72,77,61,TR radius too small
90,HIELOW,3,False,0.002782106399536133,1009.3578488831894,8777.663290463377,1,3,1,TR radius too small
91,VIBRBEAM,8,False,2.742875099182129,9.43290725319526,27584.897904955942,4999,5017,336,Exceed max iterations
92,CERI651BLS,7,False,2.041926860809326,95.89538027323042,11.450666224227078,4999,5005,12,Exceed max iterations
93,WAYSEA1,2,True,0.020029067993164062,1.8461608336594499e-22,1.2242028108248123e-09,79,89,79,First order condition met
94,METHANB8LS,31,False,4.01193904876709,3.1989827923228755e-05,0.0058426788948080155,4999,5013,29,Exceed max iterations
95,BARD,3,True,0.007083892822265625,0.008214877306600763,1.2414795004639333e-07,18,23,19,First order condition met
96,PRICE4,2,True,0.017634153366088867,5.513492752167694e-09,7.792468529869027e-07,56,63,55,First order condition met
97,BEALE,2,True,0.005847930908203125,2.953158559040202e-15,5.499046940449564e-08,21,26,22,First order condition met
98,WATSON,12,True,0.059767961502075195,9.378095057342724e-08,2.8470367130808155e-06,94,102,93,First order condition met
99,ALLINITU,4,True,0.0060329437255859375,5.744384910320364,6.973998847865451e-07,18,23,19,First order condition met
100,LUKSAN13LS,98,False,0.23377394676208496,25188.85958964536,0.00029253969375675037,372,381,161,TR radius too small
101,MISRA1DLS,2,True,0.04643869400024414,0.05641929528273128,5.483622314022588e-08,244,252,176,First order condition met
102,MEXHAT,2,True,0.020349979400634766,-0.04000999999999994,4.436260751578215e-06,98,104,56,First order condition met
103,HATFLDE,3,True,0.010669946670532227,5.120479641527471e-07,3.712917782512163e-07,31,36,32,First order condition met
104,VESUVIALS,8,False,3.8896501064300537,1975.3185512213686,989.0784672887883,4999,5005,5001,Exceed max iterations
105,DMN37143LS,99,False,48.70358610153198,195.60275983420593,222.01684323423362,4999,5007,1299,Exceed max iterations
106,BROWNBS,2,True,0.015180110931396484,2.7365818487147534e-14,3.3086307393956364e-07,67,72,67,First order condition met
107,LUKSAN11LS,100,True,2.7870259284973145,1.0332299898667352e-15,6.429910588070432e-08,4266,4283,4266,First order condition met
108,PALMER1D,7,True,0.010724782943725586,0.6526739849845491,8.596376405275537e-07,38,43,39,First order condition met
109,WAYSEA2,2,True,0.014404058456420898,5.020406841011681e-12,8.458931760477476e-07,44,51,45,First order condition met
