,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
50,RECIPELS,3,True,0.0025930404663085938,2.4509119797507985e-07,6.985501624918158e-05,8,10,0,First order condition met
51,PALMER2C,8,True,0.027877330780029297,0.014368885658140464,3.344365315347883e-07,36,38,0,First order condition met
52,HIMMELBF,4,True,0.022318124771118164,318.57174879117576,6.3030741480907525e-06,46,48,0,First order condition met
53,ROSENBRTU,2,True,0.03547382354736328,8.413148891453087e-09,8.334488613946136e-05,130,132,0,First order condition met
54,STRATEC,10,True,3.3533339500427246,2212.2622909073493,5.048176970203523e-05,175,177,0,First order condition met
55,MGH17LS,5,True,0.002370119094848633,1.1060311523125956,5.21451809998854e-05,7,9,0,First order condition met
56,DEVGLA1,4,False,0.000164031982421875,,,0,2,0,Obj is nan or +/-inf
57,BENNETT5LS,3,True,0.013221263885498047,0.0005389171203865774,1.9057949851539142e-05,44,46,0,First order condition met
58,HILBERTB,10,True,0.0014290809631347656,2.8104383177564387e-14,7.518799234040705e-07,5,7,0,First order condition met
59,HIMMELBCLS,2,True,0.0027990341186523438,6.88338942662431e-12,2.437711912318735e-05,10,12,0,First order condition met
60,BROWNDEN,4,True,0.007559299468994141,85822.2013524326,3.369268401285223e-05,31,33,0,First order condition met
61,LSC1LS,3,True,0.02012801170349121,7.711852239273502,6.215809732280633e-05,66,68,0,First order condition met
62,HIMMELBH,2,True,0.002393960952758789,-0.999999999936589,2.757669357927512e-05,8,10,0,First order condition met
63,ENGVAL2,3,True,0.01389002799987793,6.506718232200687e-13,7.189447980185652e-07,47,49,0,First order condition met
64,POWELLSQLS,2,True,0.007227897644042969,7.526130034390626e-18,5.486965814746331e-07,25,27,0,First order condition met
65,CERI651DLS,7,False,0.035336971282958984,16.27344514586962,2027.0454176983922,95,96,0,TR radius too small
66,GAUSSIAN,3,True,0.0010170936584472656,1.1642963139959274e-08,1.007891374818526e-05,3,5,0,First order condition met
67,MISRA1BLS,2,False,0.1981668472290039,0.1743680958573026,14366.046471399675,999,1001,0,Exceed max iterations
68,GULF,3,True,0.02258014678955078,1.9851796607857696e-08,5.85039825508276e-05,68,70,0,First order condition met
69,PRICE3,2,True,0.004763126373291016,2.404688304049766e-12,1.9652486522072735e-05,21,23,0,First order condition met
70,BIGGS6,6,True,0.023131847381591797,0.005655652031172963,9.138288930719872e-05,60,62,0,First order condition met
71,MGH10SLS,3,False,0.3055391311645508,104.95231657521292,560840.005880445,999,1001,0,Exceed max iterations
72,SSI,3,True,0.07407307624816895,0.0002204059951084798,6.415283491510933e-05,241,243,0,First order condition met
73,ROSENBR,2,True,0.010910987854003906,2.8165970534958606e-12,8.003475432008566e-06,43,45,0,First order condition met
74,ROSZMAN1LS,4,False,0.3101658821105957,0.03916532025022694,437.3900747228884,999,1001,0,Exceed max iterations
75,PALMER1C,8,True,0.006205320358276367,0.09760504811462664,1.1199435347339447e-06,31,33,0,First order condition met
76,HIELOW,3,False,0.0018796920776367188,,,0,2,0,Obj is nan or +/-inf
77,VIBRBEAM,8,False,0.5863358974456787,10.598468777516818,28379.505579197918,999,1001,0,Exceed max iterations
78,CERI651BLS,7,False,0.019394874572753906,97.35608403244858,12518.887889428384,81,82,0,TR radius too small
