,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
150,CERI651ALS,failed,7.117311000823975,334.8221122070634,366.00622229241935,1999,2001,0,Exceed max iterations
151,PARKCH,failed,0.09629631042480469,-inf,,0,2,0,Obj is nan or +/-inf
152,CHNRSNBM,failed,7.035255193710327,3.962395324650768e-13,1.8151169558546672e-06,1247,1248,0,TR radius too small
153,HAIRY,converged,0.07400012016296387,20.0,3.4817374217788754e-08,26,28,0,First order condition met
154,GROWTHLS,converged,0.00622105598449707,3542.14903046,1.7045897693839644e-89,15,17,0,First order condition met
155,DJTL,failed,0.2810249328613281,-8951.544723747424,0.000163261949155396,105,106,0,TR radius too small
156,KIRBY2LS,failed,7.140835285186768,169.0729229274474,3118022.599057765,1999,2001,0,Exceed max iterations
157,STREG,converged,5.474450349807739,5.4092207818151e-13,6.670305430738593e-07,1971,1973,0,First order condition met
158,PALMER6C,converged,0.5110509395599365,0.016387439715597724,9.396423903952466e-07,69,71,0,First order condition met
159,CERI651CLS,failed,9.458626747131348,56.579737482874975,32.429320821087664,1999,2001,0,Exceed max iterations
160,VESUVIOULS,failed,16.20465874671936,0.47711517180378876,0.7915033140868881,1999,2001,0,Exceed max iterations
161,TRIGON2,converged,0.21558189392089844,4.623590179877824,8.915763152676329e-07,41,43,0,First order condition met
162,LUKSAN12LS,failed,11.15596604347229,2097.260852531566,9.419438447477617e-05,879,880,0,TR radius too small
163,JUDGE,converged,0.10917782783508301,20.48233700048627,1.1428672472920616e-08,28,30,0,First order condition met
164,CLIFF,converged,0.39264917373657227,0.19978661367770056,2.4665926035522935e-09,96,98,0,First order condition met
